PIN2,HOUSE_UNIT,PROPERTY_TYPE
10253310180000,1,1
10253310190000,0,5
10253310270000,2,3
10253310280000,2,3
10253310290000,2,3
10253310300000,3,3
10253310310000,2,3
10253310320000,3,3
10253310330000,2,3
10253310350000,0,5
10253310360000,0,5
10253310370000,0,5
10253310380000,0,5
10253310390000,0,5
10253310400000,0,5
10253320010000,1,1
10253320190000,1,1
10253320200000,1,1
10253320220000,1,1
10253320230000,1,1
10253320240000,1,1
10253320250000,1,1
10253320260000,1,1
10253320270000,1,1
10253320280000,1,1
10253320290000,1,1
10253320300000,1,1
10253320310000,1,1
10253320320000,1,1
10253320330000,1,1
10253320380000,1,1
10253320390000,2,3
10253320400000,2,3
10253320410000,2,3
10253320420000,2,3
10253320430000,2,3
10253320440000,2,3
10253320450000,2,3
10253320460000,0,5
10253320470000,2,3
10253320500000,3,3
10253320520000,2,3
10253320550000,3,3
10253320560000,2,3
10253330010000,1,1
10253330040000,1,1
10253330050000,1,1
10253330060000,1,1
10253330070000,1,1
10253330100000,1,1
10253330110000,1,1
10253330120000,0,5
10253330130000,0,5
10253330140000,0,5
10253330150000,0,5
10253330190000,0,5
10253330200000,0,5
10253330210000,0,5
10253330240000,0,5
10253330250000,1,1
10253330260000,1,1
10253330270000,0,5
10253330280000,1,1
10254000050000,0,5
10254000060000,0,5
10254000070000,0,5
10254000080000,0,5
10254000090000,0,5
10254000150000,0,5
10254000160000,0,5
10254000170000,0,5
10254000180000,0,5
10254000190000,0,5
10254000200000,0,5
10254000210000,2,3
10254000220000,0,5
10254000280000,1,1
10254000290000,1,1
10254000300000,1,1
10254000330000,1,1
10254000340000,1,1
10254000350000,1,1
10254000360000,1,1
10254000390000,1,1
10254000420000,1,1
10254000430000,1,1
10254000440000,1,1
10254000450000,1,1
10254000460000,1,1
10254000470000,1,1
10254000480000,1,1
10254000490000,0,5
10254000500000,1,1
10254000510000,0,5
10254000520000,0,5
10254010030000,1,1
10254010040000,1,1
10254010250000,1,1
10254010260000,1,1
10254010270000,1,1
10254010280000,1,1
10254010290000,1,1
